Kalendername,Land,Kategorie,Wettbewerb,API-Provider,API-Key-Provider,ICSId,LogoBytes,SubGroupOrder
Fussball/Spanien/La Liga/Espanyol,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133734,,7
Fussball/Spanien/La Liga/Getafe,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133731,,8
Fussball/Spanien/La Liga/Girona,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,134700,,9
Fussball/Spanien/La Liga/Levante,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133732,,10
Fussball/Spanien/La Liga/Mallorca,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133733,,11
Fussball/Spanien/La Liga/Osasuna,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133730,,12
Fussball/Spanien/La Liga/Rayo Vallecano,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133728,,13
Fussball/Spanien/La Liga/Real Betis,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133722,,14
Fussball/Spanien/La Liga/Real Madrid,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133738,,15
Fussball/Spanien/La Liga/Real Oviedo,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,135455,,16
Fussball/Spanien/La Liga/Real Sociedad,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133724,,17
Fussball/Spanien/La Liga/Sevilla,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133735,,18
Fussball/Spanien/La Liga/Valencia,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133725,,19
Fussball/Spanien/La Liga/Villarreal,Spanien,Sport,La Liga,TheSportsDB,THESPORTSDB_API_KEY,133740,,20
Fussball/Spanien/La Liga 2/Albacete,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134232,,1
Fussball/Spanien/La Liga 2/Almería,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133817,,2
Fussball/Spanien/La Liga 2/Burgos,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,138161,,3
Fussball/Spanien/La Liga 2/Cádiz,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134222,,4
Fussball/Spanien/La Liga 2/Castellón,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,138286,,5
Fussball/Spanien/La Liga 2/Ceuta,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,144243,,6
Fussball/Spanien/La Liga 2/Córdoba,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134627,,7
Fussball/Spanien/La Liga 2/Cultural Leonesa,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,135888,,8
Fussball/Spanien/La Liga 2/Deportivo de La Coruña,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133816,,9
Fussball/Spanien/La Liga 2/Eibar,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134626,,10
Fussball/Spanien/La Liga 2/Granada,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133721,,11
Fussball/Spanien/La Liga 2/Huesca,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,135454,,12
Fussball/Spanien/La Liga 2/Las Palmas,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134259,,13
Fussball/Spanien/La Liga 2/Leganés,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134701,,14
Fussball/Spanien/La Liga 2/Málaga,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133736,,15
Fussball/Spanien/La Liga 2/Mirandés,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,134698,,16
Fussball/Spanien/La Liga 2/Racing Santander,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133726,,17
Fussball/Spanien/La Liga 2/Real Sociedad B,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,138160,,18
Fussball/Spanien/La Liga 2/Real Valladolid,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133841,,19
Fussball/Spanien/La Liga 2/Sporting Gijón,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133723,,20
Fussball/Spanien/La Liga 2/Tenerife,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133840,,21
Fussball/Spanien/La Liga 2/Zaragoza,Spanien,Sport,La Liga 2,TheSportsDB,THESPORTSDB_API_KEY,133737,,22
Fussball/England/Premier League/Arsenal,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133604,,1
Fussball/England/Premier League/Aston Villa,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133601,,2
Fussball/England/Premier League/Bournemouth,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,134301,,3
Fussball/England/Premier League/Brentford,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,134355,,4
Fussball/England/Premier League/Brighton and Hove Albion,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133619,,5
Fussball/England/Premier League/Burnley,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133623,,6
Fussball/England/Premier League/Chelsea,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133610,,7
Fussball/England/Premier League/Crystal Palace,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133632,,8
Fussball/England/Premier League/Everton,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133615,,9
Fussball/England/Premier League/Fulham,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133600,,10
Fussball/England/Premier League/Leeds United,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133635,,11
Fussball/England/Premier League/Liverpool,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133602,,12
Fussball/England/Premier League/Manchester City,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133613,,13
Fussball/England/Premier League/Manchester United,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133612,,14
Fussball/England/Premier League/Newcastle United,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,134777,,15
Fussball/England/Premier League/Nottingham Forest,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,148600,,16
Fussball/England/Premier League/Sunderland,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133603,,17
Fussball/England/Premier League/Tottenham Hotspur,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133616,,18
Fussball/England/Premier League/West Ham United,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133636,,19
Fussball/England/Premier League/Wolverhampton Wanderers,England,Sport,Premier League,TheSportsDB,THESPORTSDB_API_KEY,133599,,20
Fussball/England/Championship/Birmingham City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133597,,1
Fussball/England/Championship/Blackburn Rovers,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133598,,2
Fussball/England/Championship/Bristol City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133621,,3
Fussball/England/Championship/Charlton Athletic,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133851,,4
Fussball/England/Championship/Coventry City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133625,,5
Fussball/England/Championship/Derby County,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133627,,6
Fussball/England/Championship/Hull City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133617,,7
Fussball/England/Championship/Ipswich Town,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133622,,8
Fussball/England/Championship/Leicester City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133626,,9
Fussball/England/Championship/Middlesbrough,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133628,,10
Fussball/England/Championship/Millwall,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133634,,11
Fussball/England/Championship/Norwich City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133608,,12
Fussball/England/Championship/Oxford United,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,134361,,13
Fussball/England/Championship/Portsmouth,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133629,,14
Fussball/England/Championship/Preston North End,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133809,,15
Fussball/England/Championship/Queens Park Rangers,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133605,,16
Fussball/England/Championship/Sheffield United,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133811,,17
Fussball/England/Championship/Sheffield Wednesday,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133837,,18
Fussball/England/Championship/Southampton,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,134778,,19
Fussball/England/Championship/Stoke City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133609,,20
Fussball/England/Championship/Swansea City,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133614,,21
Fussball/England/Championship/Watford,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133624,,22
Fussball/England/Championship/West Bromwich Albion,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,133611,,23
Fussball/England/Championship/Wrexham,England,Sport,Championship,TheSportsDB,THESPORTSDB_API_KEY,134775,,24
Fussball/Frankreich/Ligue 1/Angers,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,134709,,1
Fussball/Frankreich/Ligue 1/Auxerre,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,134788,,2
Fussball/Frankreich/Ligue 1/Brest,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133704,,3
Fussball/Frankreich/Ligue 1/Le Havre,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133862,,4
Fussball/Frankreich/Ligue 1/Lens,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133822,,5
Fussball/Frankreich/Ligue 1/Lille,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,151561,,6
Fussball/Frankreich/Ligue 1/Lorient,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133715,,7
Fussball/Frankreich/Ligue 1/Lyon,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133713,,8
Fussball/Frankreich/Ligue 1/Marseille,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133707,,9
Fussball/Frankreich/Ligue 1/Metz,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133883,,10
Fussball/Frankreich/Ligue 1/Monaco,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133823,,11
Fussball/Frankreich/Ligue 1/Nantes,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133861,,12
Fussball/Frankreich/Ligue 1/Nice,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133712,,13
Fussball/Frankreich/Ligue 1/Paris FC,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,135465,,14
Fussball/Frankreich/Ligue 1/Paris Saint-Germain,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133714,,15
Fussball/Frankreich/Ligue 1/Rennes,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133719,,16
Fussball/Frankreich/Ligue 1/Strasbourg,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133882,,17
Fussball/Frankreich/Ligue 1/Toulouse,Frankreich,Sport,Ligue 1,TheSportsDB,THESPORTSDB_API_KEY,133703,,18
Fussball/Frankreich/Ligue 2/Amiens,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,135658,,1
Fussball/Frankreich/Ligue 2/Annecy,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,139928,,2
Fussball/Frankreich/Ligue 2/Bastia,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133933,,3
Fussball/Frankreich/Ligue 2/Boulogne,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133849,,4
Fussball/Frankreich/Ligue 2/Clermont Foot,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,134713,,5
Fussball/Frankreich/Ligue 2/Dunkerque,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,138821,,6
Fussball/Frankreich/Ligue 2/Grenoble,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133847,,7
Fussball/Frankreich/Ligue 2/Guingamp,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,134244,,8
Fussball/Frankreich/Ligue 2/Laval,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,134708,,9
Fussball/Frankreich/Ligue 2/Le Mans,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133848,,10
Fussball/Frankreich/Ligue 2/Montpellier,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133709,,11
Fussball/Frankreich/Ligue 2/Nancy,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133710,,12
Fussball/Frankreich/Ligue 2/Pau,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,138309,,13
Fussball/Frankreich/Ligue 2/Red Star,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,135467,,14
Fussball/Frankreich/Ligue 2/Reims,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,144106,,15
Fussball/Frankreich/Ligue 2/Rodez,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,137652,,16
Fussball/Frankreich/Ligue 2/Saint-Étienne,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,133717,,17
Fussball/Frankreich/Ligue 2/Troyes,Frankreich,Sport,Ligue 2,TheSportsDB,THESPORTSDB_API_KEY,134789,,18
Fussball/Italien/Serie A/AC Milan,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133667,,1
Fussball/Italien/Serie A/Atalanta,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134782,,2
Fussball/Italien/Serie A/Bologna,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134781,,3
Fussball/Italien/Serie A/Cagliari,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134783,,4
Fussball/Italien/Serie A/Como,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134243,,5
Fussball/Italien/Serie A/Cremonese,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134224,,6
Fussball/Italien/Serie A/Fiorentina,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133674,,7
Fussball/Italien/Serie A/Genoa,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133675,,8
Fussball/Italien/Serie A/Hellas Verona,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,134784,,9
Fussball/Italien/Serie A/Inter Milan,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133681,,10
Fussball/Italien/Serie A/Juventus,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133676,,11
Fussball/Italien/Serie A/Lazio,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133668,,12
Fussball/Italien/Serie A/Lecce,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133678,,13
Fussball/Italien/Serie A/Napoli,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133670,,14
Fussball/Italien/Serie A/Parma,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,135728,,15
Fussball/Italien/Serie A/Pisa,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133859,,16
Fussball/Italien/Serie A/Roma,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133682,,17
Fussball/Italien/Serie A/Sassuolo,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133701,,18
Fussball/Italien/Serie A/Torino,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133687,,19
Fussball/Italien/Serie A/Udinese,Italien,Sport,Serie A,TheSportsDB,THESPORTSDB_API_KEY,133679,,20
Fussball/Italien/Serie B/Avellino,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133858,,1
Fussball/Italien/Serie B/Bari,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133688,,2
Fussball/Italien/Serie B/Carrarese,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134666,,3
Fussball/Italien/Serie B/Catanzaro,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,134223,,4
Fussball/Italien/Serie B/Cesena,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133669,,5
Fussball/Italien/Serie B/Empoli,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133695,,6
Fussball/Italien/Serie B/Frosinone,Italien,Sport,Serie B,TheSportsDB,THESPORTSDB_API_KEY,133818,,7
