Land,Wettbewerb,Team,SubGroupOrder,API-Provider,API-Key-Provider,ICSId
Deutschland,3. Bundesliga,Alemannia Aachen,2,TheSportsDB,THESPORTSDB_API_KEY,134210
Deutschland,3. Bundesliga,Erzgebirge Aue,3,TheSportsDB,THESPORTSDB_API_KEY,134445
Deutschland,3. Bundesliga,Energie Cottbus,4,TheSportsDB,THESPORTSDB_API_KEY,133853
Deutschland,3. Bundesliga,MSV Duisburg,5,TheSportsDB,THESPORTSDB_API_KEY,133877
Deutschland,3. Bundesliga,Hansa Rostock,6,TheSportsDB,THESPORTSDB_API_KEY,133876
Deutschland,3. Bundesliga,Havelse,7,TheSportsDB,THESPORTSDB_API_KEY,138375
Deutschland,3. Bundesliga,Hoffenheim II,8,TheSportsDB,THESPORTSDB_API_KEY,138365
Deutschland,3. Bundesliga,FC Ingolstadt,9,TheSportsDB,THESPORTSDB_API_KEY,134694
Deutschland,3. Bundesliga,Jahn Regensburg,10,TheSportsDB,THESPORTSDB_API_KEY,136026
Deutschland,3. Bundesliga,Waldhof Mannheim,11,TheSportsDB,THESPORTSDB_API_KEY,137962
Deutschland,3. Bundesliga,VfL Osnabrück,12,TheSportsDB,THESPORTSDB_API_KEY,137115
Deutschland,3. Bundesliga,Rot-Weiss Essen,13,TheSportsDB,THESPORTSDB_API_KEY,138400
Deutschland,3. Bundesliga,Saarbrücken,14,TheSportsDB,THESPORTSDB_API_KEY,138410
Deutschland,3. Bundesliga,Schweinfurt,15,TheSportsDB,THESPORTSDB_API_KEY,138424
Deutschland,3. Bundesliga,VfB Stuttgart II,16,TheSportsDB,THESPORTSDB_API_KEY,140052
Deutschland,3. Bundesliga,SSV Ulm,17,TheSportsDB,THESPORTSDB_API_KEY,135430
Deutschland,3. Bundesliga,Verl,18,TheSportsDB,THESPORTSDB_API_KEY,138399
Deutschland,3. Bundesliga,Viktoria Köln,19,TheSportsDB,THESPORTSDB_API_KEY,137961
Deutschland,3. Bundesliga,Wehen Wiesbaden,20,TheSportsDB,THESPORTSDB_API_KEY,137111
Spanien,La Liga,Athletic Bilbao,1,TheSportsDB,THESPORTSDB_API_KEY,133727
Spanien,La Liga,Atlético Madrid,2,TheSportsDB,THESPORTSDB_API_KEY,133729
Spanien,La Liga,Barcelona,3,TheSportsDB,THESPORTSDB_API_KEY,133739
Spanien,La Liga,Celta Vigo,4,TheSportsDB,THESPORTSDB_API_KEY,133937
Spanien,La Liga,Deportivo Alavés,5,TheSportsDB,THESPORTSDB_API_KEY,134221
Spanien,La Liga,Elche,6,TheSportsDB,THESPORTSDB_API_KEY,134384
Spanien,La Liga,Espanyol,7,TheSportsDB,THESPORTSDB_API_KEY,133734
Spanien,La Liga,Getafe,8,TheSportsDB,THESPORTSDB_API_KEY,133731
Spanien,La Liga,Girona,9,TheSportsDB,THESPORTSDB_API_KEY,134700
Spanien,La Liga,Levante,10,TheSportsDB,THESPORTSDB_API_KEY,133732
Spanien,La Liga,Mallorca,11,TheSportsDB,THESPORTSDB_API_KEY,133733
Spanien,La Liga,Osasuna,12,TheSportsDB,THESPORTSDB_API_KEY,133730
Spanien,La Liga,Rayo Vallecano,13,TheSportsDB,THESPORTSDB_API_KEY,133728
Spanien,La Liga,Real Betis,14,TheSportsDB,THESPORTSDB_API_KEY,133722
Spanien,La Liga,Real Madrid,15,TheSportsDB,THESPORTSDB_API_KEY,133738
Spanien,La Liga,Real Oviedo,16,TheSportsDB,THESPORTSDB_API_KEY,135455
Spanien,La Liga,Real Sociedad,17,TheSportsDB,THESPORTSDB_API_KEY,133724
Spanien,La Liga,Sevilla,18,TheSportsDB,THESPORTSDB_API_KEY,133735
Spanien,La Liga,Valencia,19,TheSportsDB,THESPORTSDB_API_KEY,133725
Spanien,La Liga,Villarreal,20,TheSportsDB,THESPORTSDB_API_KEY,133740
Spanien,La Liga 2,Albacete,1,TheSportsDB,THESPORTSDB_API_KEY,134232
Spanien,La Liga 2,Almería,2,TheSportsDB,THESPORTSDB_API_KEY,133817
Spanien,La Liga 2,Burgos,3,TheSportsDB,THESPORTSDB_API_KEY,138161
Spanien,La Liga 2,Cádiz,4,TheSportsDB,THESPORTSDB_API_KEY,134222
Spanien,La Liga 2,Castellón,5,TheSportsDB,THESPORTSDB_API_KEY,138286
Spanien,La Liga 2,Ceuta,6,TheSportsDB,THESPORTSDB_API_KEY,144243
Spanien,La Liga 2,Córdoba,7,TheSportsDB,THESPORTSDB_API_KEY,134627
Spanien,La Liga 2,Cultural Leonesa,8,TheSportsDB,THESPORTSDB_API_KEY,135888
Spanien,La Liga 2,Deportivo de La Coruña,9,TheSportsDB,THESPORTSDB_API_KEY,133816
Spanien,La Liga 2,Eibar,10,TheSportsDB,THESPORTSDB_API_KEY,134626
Spanien,La Liga 2,Granada,11,TheSportsDB,THESPORTSDB_API_KEY,133721
Spanien,La Liga 2,Huesca,12,TheSportsDB,THESPORTSDB_API_KEY,135454
Spanien,La Liga 2,Las Palmas,13,TheSportsDB,THESPORTSDB_API_KEY,134259
Spanien,La Liga 2,Leganés,14,TheSportsDB,THESPORTSDB_API_KEY,134701
Spanien,La Liga 2,Málaga,15,TheSportsDB,THESPORTSDB_API_KEY,133736
Spanien,La Liga 2,Mirandés,16,TheSportsDB,THESPORTSDB_API_KEY,134698
Spanien,La Liga 2,Racing Santander,17,TheSportsDB,THESPORTSDB_API_KEY,133726
Spanien,La Liga 2,Real Sociedad B,18,TheSportsDB,THESPORTSDB_API_KEY,138160
Spanien,La Liga 2,Real Valladolid,19,TheSportsDB,THESPORTSDB_API_KEY,133841
Spanien,La Liga 2,Sporting Gijón,20,TheSportsDB,THESPORTSDB_API_KEY,133723
Spanien,La Liga 2,Tenerife,21,TheSportsDB,THESPORTSDB_API_KEY,133840
Spanien,La Liga 2,Zaragoza,22,TheSportsDB,THESPORTSDB_API_KEY,133737
England,Premier League,Arsenal,1,TheSportsDB,THESPORTSDB_API_KEY,133604
England,Premier League,Aston Villa,2,TheSportsDB,THESPORTSDB_API_KEY,133601
England,Premier League,Bournemouth,3,TheSportsDB,THESPORTSDB_API_KEY,134301
England,Premier League,Brentford,4,TheSportsDB,THESPORTSDB_API_KEY,134355
England,Premier League,Brighton and Hove Albion,5,TheSportsDB,THESPORTSDB_API_KEY,133619
England,Premier League,Burnley,6,TheSportsDB,THESPORTSDB_API_KEY,133623
England,Premier League,Chelsea,7,TheSportsDB,THESPORTSDB_API_KEY,133610
England,Premier League,Crystal Palace,8,TheSportsDB,THESPORTSDB_API_KEY,133632
England,Premier League,Everton,9,TheSportsDB,THESPORTSDB_API_KEY,133615
England,Premier League,Fulham,10,TheSportsDB,THESPORTSDB_API_KEY,133600
England,Premier League,Leeds United,11,TheSportsDB,THESPORTSDB_API_KEY,133635
England,Premier League,Liverpool,12,TheSportsDB,THESPORTSDB_API_KEY,133602
England,Premier League,Manchester City,13,TheSportsDB,THESPORTSDB_API_KEY,133613
England,Premier League,Manchester United,14,TheSportsDB,THESPORTSDB_API_KEY,133612
England,Premier League,Newcastle United,15,TheSportsDB,THESPORTSDB_API_KEY,134777
England,Premier League,Nottingham Forest,16,TheSportsDB,THESPORTSDB_API_KEY,148600
England,Premier League,Sunderland,17,TheSportsDB,THESPORTSDB_API_KEY,133603
England,Premier League,Tottenham Hotspur,18,TheSportsDB,THESPORTSDB_API_KEY,133616
England,Premier League,West Ham United,19,TheSportsDB,THESPORTSDB_API_KEY,133636
England,Premier League,Wolverhampton Wanderers,20,TheSportsDB,THESPORTSDB_API_KEY,133599
England,Championship,Birmingham City,1,TheSportsDB,THESPORTSDB_API_KEY,133597
England,Championship,Blackburn Rovers,2,TheSportsDB,THESPORTSDB_API_KEY,133598
England,Championship,Bristol City,3,TheSportsDB,THESPORTSDB_API_KEY,133621
England,Championship,Charlton Athletic,4,TheSportsDB,THESPORTSDB_API_KEY,133851
England,Championship,Coventry City,5,TheSportsDB,THESPORTSDB_API_KEY,133625
England,Championship,Derby County,6,TheSportsDB,THESPORTSDB_API_KEY,133627
England,Championship,Hull City,7,TheSportsDB,THESPORTSDB_API_KEY,133617
England,Championship,Ipswich Town,8,TheSportsDB,THESPORTSDB_API_KEY,133622
England,Championship,Leicester City,9,TheSportsDB,THESPORTSDB_API_KEY,133626
England,Championship,Middlesbrough,10,TheSportsDB,THESPORTSDB_API_KEY,133628
England,Championship,Millwall,11,TheSportsDB,THESPORTSDB_API_KEY,133634
England,Championship,Norwich City,12,TheSportsDB,THESPORTSDB_API_KEY,133608
England,Championship,Oxford United,13,TheSportsDB,THESPORTSDB_API_KEY,134361
England,Championship,Portsmouth,14,TheSportsDB,THESPORTSDB_API_KEY,133629
England,Championship,Preston North End,15,TheSportsDB,THESPORTSDB_API_KEY,133809
England,Championship,Queens Park Rangers,16,TheSportsDB,THESPORTSDB_API_KEY,133605
England,Championship,Sheffield United,17,TheSportsDB,THESPORTSDB_API_KEY,133811
England,Championship,Sheffield Wednesday,18,TheSportsDB,THESPORTSDB_API_KEY,133837
England,Championship,Southampton,19,TheSportsDB,THESPORTSDB_API_KEY,134778
England,Championship,Stoke City,20,TheSportsDB,THESPORTSDB_API_KEY,133609
England,Championship,Swansea City,21,TheSportsDB,THESPORTSDB_API_KEY,133614
England,Championship,Watford,22,TheSportsDB,THESPORTSDB_API_KEY,133624
England,Championship,West Bromwich Albion,23,TheSportsDB,THESPORTSDB_API_KEY,133611
England,Championship,Wrexham,24,TheSportsDB,THESPORTSDB_API_KEY,134775
Frankreich,Ligue 1,Angers,1,TheSportsDB,THESPORTSDB_API_KEY,134709
Frankreich,Ligue 1,Auxerre,2,TheSportsDB,THESPORTSDB_API_KEY,134788
Frankreich,Ligue 1,Brest,3,TheSportsDB,THESPORTSDB_API_KEY,133704
Frankreich,Ligue 1,Le Havre,4,TheSportsDB,THESPORTSDB_API_KEY,133862
Frankreich,Ligue 1,Lens,5,TheSportsDB,THESPORTSDB_API_KEY,133822
Frankreich,Ligue 1,Lille,6,TheSportsDB,THESPORTSDB_API_KEY,151561
Frankreich,Ligue 1,Lorient,7,TheSportsDB,THESPORTSDB_API_KEY,133715
Frankreich,Ligue 1,Lyon,8,TheSportsDB,THESPORTSDB_API_KEY,133713
Frankreich,Ligue 1,Marseille,9,TheSportsDB,THESPORTSDB_API_KEY,133707
Frankreich,Ligue 1,Metz,10,TheSportsDB,THESPORTSDB_API_KEY,133883
Frankreich,Ligue 1,Monaco,11,TheSportsDB,THESPORTSDB_API_KEY,133823
Frankreich,Ligue 1,Nantes,12,TheSportsDB,THESPORTSDB_API_KEY,133861
Frankreich,Ligue 1,Nice,13,TheSportsDB,THESPORTSDB_API_KEY,133712
Frankreich,Ligue 1,Paris FC,14,TheSportsDB,THESPORTSDB_API_KEY,135465
Frankreich,Ligue 1,Paris Saint-Germain,15,TheSportsDB,THESPORTSDB_API_KEY,133714
Frankreich,Ligue 1,Rennes,16,TheSportsDB,THESPORTSDB_API_KEY,133719
Frankreich,Ligue 1,Strasbourg,17,TheSportsDB,THESPORTSDB_API_KEY,133882
Frankreich,Ligue 1,Toulouse,18,TheSportsDB,THESPORTSDB_API_KEY,133703
Frankreich,Ligue 2,Amiens,1,TheSportsDB,THESPORTSDB_API_KEY,135658
Frankreich,Ligue 2,Annecy,2,TheSportsDB,THESPORTSDB_API_KEY,139928
Frankreich,Ligue 2,Bastia,3,TheSportsDB,THESPORTSDB_API_KEY,133933
Frankreich,Ligue 2,Boulogne,4,TheSportsDB,THESPORTSDB_API_KEY,133849
Frankreich,Ligue 2,Clermont Foot,5,TheSportsDB,THESPORTSDB_API_KEY,134713
Frankreich,Ligue 2,Dunkerque,6,TheSportsDB,THESPORTSDB_API_KEY,138821
Frankreich,Ligue 2,Grenoble,7,TheSportsDB,THESPORTSDB_API_KEY,133847
Frankreich,Ligue 2,Guingamp,8,TheSportsDB,THESPORTSDB_API_KEY,134244
Frankreich,Ligue 2,Laval,9,TheSportsDB,THESPORTSDB_API_KEY,134708
Frankreich,Ligue 2,Le Mans,10,TheSportsDB,THESPORTSDB_API_KEY,133848
Frankreich,Ligue 2,Montpellier,11,TheSportsDB,THESPORTSDB_API_KEY,133709
Frankreich,Ligue 2,Nancy,12,TheSportsDB,THESPORTSDB_API_KEY,133710
Frankreich,Ligue 2,Pau,13,TheSportsDB,THESPORTSDB_API_KEY,138309
Frankreich,Ligue 2,Red Star,14,TheSportsDB,THESPORTSDB_API_KEY,135467
Frankreich,Ligue 2,Reims,15,TheSportsDB,THESPORTSDB_API_KEY,144106
Frankreich,Ligue 2,Rodez,16,TheSportsDB,THESPORTSDB_API_KEY,137652
Frankreich,Ligue 2,Saint-Étienne,17,TheSportsDB,THESPORTSDB_API_KEY,133717
Frankreich,Ligue 2,Troyes,18,TheSportsDB,THESPORTSDB_API_KEY,134789
Italien,Serie A,AC Milan,1,TheSportsDB,THESPORTSDB_API_KEY,133667
Italien,Serie A,Atalanta,2,TheSportsDB,THESPORTSDB_API_KEY,134782
Italien,Serie A,Bologna,3,TheSportsDB,THESPORTSDB_API_KEY,134781
Italien,Serie A,Cagliari,4,TheSportsDB,THESPORTSDB_API_KEY,134783
Italien,Serie A,Como,5,TheSportsDB,THESPORTSDB_API_KEY,134243
Italien,Serie A,Cremonese,6,TheSportsDB,THESPORTSDB_API_KEY,134224
Italien,Serie A,Fiorentina,7,TheSportsDB,THESPORTSDB_API_KEY,133674
Italien,Serie A,Genoa,8,TheSportsDB,THESPORTSDB_API_KEY,133675
Italien,Serie A,Hellas Verona,9,TheSportsDB,THESPORTSDB_API_KEY,134784
Italien,Serie A,Inter Milan,10,TheSportsDB,THESPORTSDB_API_KEY,133681
Italien,Serie A,Juventus,11,TheSportsDB,THESPORTSDB_API_KEY,133676
Italien,Serie A,Lazio,12,TheSportsDB,THESPORTSDB_API_KEY,133668
Italien,Serie A,Lecce,13,TheSportsDB,THESPORTSDB_API_KEY,133678
Italien,Serie A,Napoli,14,TheSportsDB,THESPORTSDB_API_KEY,133670
Italien,Serie A,Parma,15,TheSportsDB,THESPORTSDB_API_KEY,135728
Italien,Serie A,Pisa,16,TheSportsDB,THESPORTSDB_API_KEY,133859
Italien,Serie A,Roma,17,TheSportsDB,THESPORTSDB_API_KEY,133682
Italien,Serie A,Sassuolo,18,TheSportsDB,THESPORTSDB_API_KEY,133701
Italien,Serie A,Torino,19,TheSportsDB,THESPORTSDB_API_KEY,133687
Italien,Serie A,Udinese,20,TheSportsDB,THESPORTSDB_API_KEY,133679
Italien,Serie B,Avellino,1,TheSportsDB,THESPORTSDB_API_KEY,133858
Italien,Serie B,Bari,2,TheSportsDB,THESPORTSDB_API_KEY,133688
Italien,Serie B,Carrarese,3,TheSportsDB,THESPORTSDB_API_KEY,134666
Italien,Serie B,Catanzaro,4,TheSportsDB,THESPORTSDB_API_KEY,134223
Italien,Serie B,Cesena,5,TheSportsDB,THESPORTSDB_API_KEY,133669
Italien,Serie B,Empoli,6,TheSportsDB,THESPORTSDB_API_KEY,133695
Italien,Serie B,Frosinone,7,TheSportsDB,THESPORTSDB_API_KEY,133818
Italien,Serie B,Juve Stabia,8,TheSportsDB,THESPORTSDB_API_KEY,133696
Italien,Serie B,Mantova,9,TheSportsDB,THESPORTSDB_API_KEY,133845
Italien,Serie B,Modena,10,TheSportsDB,THESPORTSDB_API_KEY,133700
Italien,Serie B,Monza,11,TheSportsDB,THESPORTSDB_API_KEY,134270
Italien,Serie B,Padova,12,TheSportsDB,THESPORTSDB_API_KEY,135950
Italien,Serie B,Palermo,13,TheSportsDB,THESPORTSDB_API_KEY,138166
Italien,Serie B,Pescara,14,TheSportsDB,THESPORTSDB_API_KEY,133685
Italien,Serie B,Reggiana,15,TheSportsDB,THESPORTSDB_API_KEY,137121
Italien,Serie B,Sampdoria,16,TheSportsDB,THESPORTSDB_API_KEY,133683
Italien,Serie B,Spezia,17,TheSportsDB,THESPORTSDB_API_KEY,133879
Italien,Serie B,Südtirol,18,TheSportsDB,THESPORTSDB_API_KEY,134654
Italien,Serie B,Venezia,19,TheSportsDB,THESPORTSDB_API_KEY,134234
Italien,Serie B,Virtus Entella,20,TheSportsDB,THESPORTSDB_API_KEY,134633
